region;match_date;type;team;goals
europe;16-10;away;Denmark;1
europe;16-10;home;Germany;4
europe;16-10;away;Sweden;4
europe;16-10;home;Albania;1
europe;16-10;away;Slovenia;0
europe;16-10;home;Portugal;1
europe;16-10;away;Northern Ireland;1
europe;16-10;home;Romania;1
europe;16-10;away;Netherlands;4
europe;16-10;home;Cyprus;1
europe;16-10;away;Norway;3
europe;16-10;home;Ukraine;0
europe;16-10;away;Montenegro;1
europe;16-10;home;Spain;1
europe;16-10;away;France;1
europe;17-10;home;Poland;1
europe;17-10;away;England;1
usa;07-09;home;Cuba;0
usa;07-09;away;Honduras;3
usa;07-09;home;Jamaica;2
usa;07-09;away;USA;1
usa;07-09;home;El Salvador;2
usa;07-09;away;Guyana;2
usa;07-09;home;Canada;1
usa;07-09;away;Panama;0
usa;07-09;home;Guatemala;3
usa;07-09;away;Antigua and Barbuda;1
usa;07-09;home;Costa Rica;0
usa;07-09;away;Mexico;2
usa;11-09;home;Antigua and Barbuda;0
usa;11-09;away;Guatemala;1
usa;11-09;home;Honduras;1
usa;11-09;away;Cuba;0
usa;11-09;home;Mexico;1
usa;11-09;away;Costa Rica;0
usa;11-09;home;Guyana;2
usa;11-09;away;El Salvador;3
usa;11-09;home;Panama;2
usa;11-09;away;Canada;0
usa;11-09;home;USA;1
usa;11-09;away;Jamaica;0
usa;12-10;home;Antigua and Barbuda;1
usa;12-10;away;USA;2
usa;12-10;home;El Salvador;0
usa;12-10;away;Costa Rica;1
usa;12-10;home;Canada;3
usa;12-10;away;Cuba;0
usa;12-10;home;Guatemala;2
usa;12-10;away;Jamaica;1
usa;12-10;home;Guyana;0
usa;12-10;away;Mexico;5
usa;12-10;home;Panama;0
usa;12-10;away;Honduras;0
usa;16-10;home;Honduras;8
usa;16-10;away;Canada;1
usa;16-10;home;Cuba;1
usa;16-10;away;Panama;1
usa;16-10;home;Jamaica;4
usa;16-10;away;Antigua and Barbuda;1
usa;16-10;home;USA;3
usa;16-10;away;Guatemala;1
usa;16-10;home;Costa Rica;7
usa;16-10;away;Guyana;0
usa;16-10;home;Mexico;2
usa;16-10;away;El Salvador;0
