prop_code;feature;description
MCX-016;Dining room;Yes
MCX-016;Family room;Yes
MCX-016;Kitchen;Yes
MCX-016;Office;Yes
MCX-016;Basement;Yes
MCX-016;Swimming pool;Yes
MCX-016;cooling features;air conditioning
MCX-016;exterior construction;Stuco
MCX-017;bedrooms;4
MCX-017;baths;3
MCX-017;style;Tudor
MCX-017;Living room;Yes
MCX-017;Dining room;Yes
MCX-017;Kitchen;Yes
MCX-017;Basement;Yes
MCX-017;Fireplace;Yes
MCX-017;Swimming pool;Yes
MCX-017;parking features;Garage Door Opener, Detached
MCX-017;heating features;Hot Water, Steam, Heat Source: Gas
MCX-017;cooling features;air conditioning
MCX-017;exterior construction;All Brick
MCX-018;bedrooms;3
MCX-018;baths;2
MCX-018;style;Ranch
MCX-018;Living room;Yes
MCX-018;Dining room;Yes
MCX-018;Kitchen;Yes
MCX-018;Basement;Yes
MCX-018;heating features;Heat Source: Electric
MCX-018;cooling features;air conditioning
MCX-018;exterior construction;All Brick
MCX-019;bedrooms;4
MCX-019;baths;3
MCX-019;Basement;Yes
MCX-019;Laundry room;Yes
MCX-019;heating features;Electric
MCX-019;cooling features;air conditioning
MCX-020;bedrooms;6
MCX-020;baths;4
MCX-020;style;Contemporary
MCX-020;Living room;Yes
MCX-020;Dining room;Yes
MCX-020;Kitchen;Yes
MCX-020;Fireplace;Yes
MCX-020;Swimming pool;Yes
MCX-020;parking features;Garage Door Opener, Built-In
MCX-020;heating features;Hot Water, Heat Source: Gas
MCX-020;cooling features;air conditioning
MCX-020;exterior construction;Part Brick, Wood
MCX-021;bedrooms;7
MCX-021;baths;5
MCX-021;Basement;Yes
MCX-022;bedrooms;4
MCX-022;baths;4
MCX-022;style;Colonial
MCX-022;Living room;Yes
MCX-022;Dining room;Yes
MCX-022;Kitchen;Yes
MCX-022;Basement;Yes
MCX-022;Fireplace;Yes
MCX-022;cooling features;air conditioning
MCX-022;exterior construction;Stucco
MCX-023;bedrooms;4
MCX-023;baths;4
MCX-023;style;Colonial
MCX-023;Living room;Yes
MCX-023;Family room;Yes
MCX-023;Kitchen;Yes
MCX-023;Basement;Yes
MCX-023;Fireplace;Yes
MCX-023;heating features;Hot Water Heater
MCX-023;cooling features;air conditioning
MCX-023;exterior construction;Stucco
